01
GREEN GIRAFFE	YELLOW GIRAFFE	BLUE GIRAFFE	RED GIRAFFE
GREEN LION	YELLOW LION	BLUE LION	RED LION
GREEN HIPPO	YELLOW HIPPO	BLUE HIPPO	RED HIPPO
GREEN CAMEL	YELLOW CAMEL	BLUE CAMEL	RED CAMEL
02
YELLOW HIPPO	RED HIPPO	BLUE HIPPO	GREEN HIPPO
BLUE GIRAFFE	GREEN GIRAFFE	YELLOW GIRAFFE	RED GIRAFFE
GREEN CAMEL	YELLOW CAMEL	RED CAMEL	BLUE CAMEL
RED LION	GREEN LION	BLUE LION	YELLOW LION
03
RED HIPPO	GREEN LION	YELLOW CAMEL	YELLOW LION
GREEN CAMEL	RED LION	BLUE CAMEL	GREEN GIRAFFE
YELLOW GIRAFFE	RED GIRAFFE	YELLOW HIPPO	BLUE HIPPO
BLUE LION	GREEN HIPPO	RED CAMEL	BLUE GIRAFFE
04
YELLOW LION	GREEN HIPPO	GREEN CAMEL	GREEN LION
YELLOW CAMEL	RED CAMEL	GREEN GIRAFFE	RED LION
RED GIRAFFE	BLUE CAMEL	RED HIPPO	YELLOW HIPPO
BLUE HIPPO	YELLOW GIRAFFE	BLUE GIRAFFE	BLUE LION
05
BLUE GIRAFFE	BLUE HIPPO	RED GIRAFFE	GREEN HIPPO
RED CAMEL	GREEN CAMEL	RED HIPPO	YELLOW GIRAFFE
RED LION	GREEN GIRAFFE	GREEN LION	YELLOW CAMEL
YELLOW HIPPO	BLUE LION	YELLOW LION	BLUE CAMEL
06
GREEN LION	BLUE LION	YELLOW LION	GREEN GIRAFFE
GREEN CAMEL	RED LION	GREEN HIPPO	YELLOW GIRAFFE
YELLOW HIPPO	BLUE CAMEL	BLUE HIPPO	YELLOW CAMEL
BLUE GIRAFFE	RED HIPPO	RED GIRAFFE	RED CAMEL
07
YELLOW GIRAFFE	RED CAMEL	BLUE GIRAFFE	BLUE HIPPO
RED LION	YELLOW CAMEL	GREEN LION	GREEN CAMEL
RED HIPPO	BLUE CAMEL	GREEN GIRAFFE	YELLOW LION
BLUE LION	GREEN HIPPO	RED GIRAFFE	YELLOW HIPPO
08
BLUE GIRAFFE	RED LION	YELLOW LION	YELLOW HIPPO
GREEN HIPPO	RED GIRAFFE	BLUE HIPPO	RED HIPPO
GREEN CAMEL	GREEN LION	RED CAMEL	YELLOW CAMEL
YELLOW GIRAFFE	BLUE LION	GREEN GIRAFFE	BLUE CAMEL
09
BLUE LION	GREEN GIRAFFE	YELLOW GIRAFFE	GREEN LION
RED HIPPO	RED CAMEL	RED GIRAFFE	GREEN CAMEL
BLUE CAMEL	YELLOW HIPPO	BLUE GIRAFFE	YELLOW CAMEL
GREEN HIPPO	YELLOW LION	BLUE HIPPO	RED LION
10
YELLOW CAMEL	BLUE CAMEL	GREEN CAMEL	YELLOW HIPPO
RED HIPPO	BLUE GIRAFFE	GREEN HIPPO	YELLOW GIRAFFE
RED GIRAFFE	GREEN LION	RED LION	BLUE HIPPO
BLUE LION	RED CAMEL	YELLOW LION	GREEN GIRAFFE
11
YELLOW HIPPO	RED LION	YELLOW CAMEL	GREEN LION
RED CAMEL	BLUE HIPPO	GREEN GIRAFFE	GREEN HIPPO
RED GIRAFFE	BLUE CAMEL	RED HIPPO	BLUE GIRAFFE
BLUE LION	GREEN CAMEL	YELLOW GIRAFFE	YELLOW LION
12
RED CAMEL	GREEN HIPPO	YELLOW CAMEL	YELLOW HIPPO
BLUE CAMEL	RED GIRAFFE	RED LION	GREEN CAMEL
GREEN LION	BLUE HIPPO	GREEN GIRAFFE	YELLOW GIRAFFE
YELLOW LION	RED HIPPO	BLUE LION	BLUE GIRAFFE
13
BLUE CAMEL	GREEN LION	YELLOW HIPPO	RED HIPPO
GREEN HIPPO	BLUE HIPPO	GREEN CAMEL	BLUE LION
YELLOW LION	GREEN GIRAFFE	RED CAMEL	YELLOW GIRAFFE
RED GIRAFFE	BLUE GIRAFFE	RED LION	YELLOW CAMEL
14
BLUE GIRAFFE	RED GIRAFFE	YELLOW LION	RED LION
RED HIPPO	GREEN GIRAFFE	BLUE LION	GREEN HIPPO
